raw_outcome_scope,outcome_scope,metric_alignment_status,observations
injuryTissueType_muscle_contusion,injuryTissueType_muscle_contusion,supported,4
injuryTissueType_muscle_injury,injuryTissueType_muscle_injury,hold,16
injuryTissueType_muscle_injury,injuryTissueType_muscle_injury,supported,70
injuryTissueType_muscle_injury,restricted_MRI_confirmed_hamstring_injury_4day_absence,supported,7
injuryTissueType_muscle_injury,restricted_acute_muscle_strain,supported,1
injuryTissueType_muscle_injury,restricted_hamstring_injury,supported,2
injuryTissueType_muscle_injury,restricted_hamstring_muscle_injury,hold,2
injuryTissueType_muscle_injury,restricted_hamstring_muscle_injury,supported,1
injuryTissueType_muscle_injury,restricted_muscle,supported,9
injuryTissueType_muscle_injury,restricted_non_contact_hamstring_injury,supported,1
injuryTissueType_muscle_injury,restricted_non_contact_lower_limb_muscle_injury,supported,12
injuryTissueType_muscle_injury,restricted_posterior_thigh_hamstring_strain_injury,supported,4
injuryTissueType_muscle_tendon,injuryTissueType_muscle_tendon,hold,7
injuryTissueType_muscle_tendon,injuryTissueType_muscle_tendon,supported,37
injuryTissueType_muscle_tendon,restricted_MRI_confirmed_hamstring_injury_4day_absence,supported,7
injuryTissueType_muscle_tendon,restricted_acute_muscle_strain,supported,1
injuryTissueType_muscle_tendon,restricted_shoulder_injury,supported,1
injuryTissueType_nervous,injuryTissueType_nervous,hold,1
injuryTissueType_nervous,injuryTissueType_nervous,supported,15
injuryTissueType_non_specific_tissue,injuryTissueType_non_specific_tissue,hold,3
injuryTissueType_non_specific_tissue,injuryTissueType_non_specific_tissue,supported,28
injuryTissueType_non_specific_tissue,restricted_ankle,hold,1
injuryTissueType_physis,injuryTissueType_physis,supported,1
injuryTissueType_physis,restricted_physis_injury,supported,8
injuryTissueType_superficial_contusion,injuryTissueType_superficial_contusion,hold,5
injuryTissueType_superficial_contusion,injuryTissueType_superficial_contusion,supported,47
injuryTissueType_superficial_contusion,restricted_ankle,hold,1
injuryTissueType_superficial_contusion,restricted_ankle,supported,1
injuryTissueType_superficial_contusion,restricted_lower_limb,supported,1
injuryTissueType_superficial_contusion,restricted_shoulder_injury,supported,1
injuryTissueType_superficial_tissues_skin,injuryTissueType_superficial_tissues_skin,hold,4
injuryTissueType_superficial_tissues_skin,injuryTissueType_superficial_tissues_skin,supported,13
injuryTissueType_synovitis_capsulitis,injuryTissueType_synovitis_capsulitis,hold,1
injuryTissueType_synovitis_capsulitis,restricted_ankle,hold,1
injuryTissueType_tendinopathy,injuryTissueType_tendinopathy,hold,14
injuryTissueType_tendinopathy,injuryTissueType_tendinopathy,supported,23
injuryTissueType_tendinopathy,restricted_ankle,hold,1
injuryTissueType_tendinopathy,restricted_ankle,supported,1
injuryTissueType_tendon_injury,injuryTissueType_tendon_injury,hold,1
injuryTissueType_tendon_injury,injuryTissueType_tendon_injury,supported,14
injuryTissueType_tendon_rupture,injuryTissueType_tendon_rupture,supported,2
injuryTissueType_vessels,injuryTissueType_vessels,hold,3
knee_scope_review,knee,supported,11
lower_limb_scope_review,lower_limb,supported,18
lower_limb_scope_review,lower_limb_scope_review,hold,1
lower_limb_scope_review,restricted_lower_limb,hold,4
lower_limb_scope_review,restricted_lower_limb,supported,3
lower_limb_scope_review,restricted_non_contact_lower_limb_injury,hold,1
muscle_scope_review,muscle,supported,7
muscle_scope_review,muscle_scope_review,hold,3
muscle_scope_review,restricted_acute_muscle_strain,supported,3
muscle_scope_review,restricted_hamstring_muscle_injury,hold,8
muscle_scope_review,restricted_hamstring_muscle_injury,supported,1
muscle_scope_review,restricted_muscle,hold,2
muscle_scope_review,restricted_muscle,supported,17
muscle_scope_review,restricted_non_contact_calf_muscle_strain,supported,2
muscle_scope_review,restricted_non_contact_lower_limb_muscle_injury,hold,12
non_contact_scope_review,non_contact,supported,8
overuse_scope_review,overuse,supported,1
upper_limb_scope_review,restricted_upper_limb_injuries_among_goalkeepers,supported,2
